OfWeek', 'OriginState', 'OriginWac', 'OriginCityMarketID'} Leakage 0.8160552884069705
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginWac', 'OriginCityMarketID'} Leakage 0.7384282740257648
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'Month', 'OriginState'} Leakage 0.7891384405959068
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'Month', 'OriginStateFips'} Leakage 0.7934902823542377
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'Month', 'OriginStateName'} Leakage 0.7903933004828738
Mask Size 5 Mask {'OriginAirportID', 'OriginCityName', 'DayofMonth', 'Month', 'OriginWac'} Leakage 0.7895183827367944
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginState', 'OriginStateFips'} Leakage 0.7889044115115883
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginStateName', 'OriginState'} Leakage 0.7884741625502618
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginState', 'OriginWac'} Leakage 0.78541480628332
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginStateName', 'OriginStateFips'} Leakage 0.7912248147024603
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginStateFips', 'OriginWac'} Leakage 0.7931171255442792
Mask Size 5 Mask {'OriginAirportID', 'DayofMonth', 'Month', 'OriginStateName', 'OriginWac'} Leakage 0.7821777418320787
