beta,leakage,utility,mask_size
5.5,0.0,-49.5,9
5.5,1.0,-12.0,2
beta,leakage,utility,mask_size
6.0,0.0,-60.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,0.0,-60.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-43.0,7
6.0,0.0,-60.0,10
6.0,1.0,-61.0,10
6.0,1.0,-49.0,8
6.0,1.0,-7.0,1
6.0,1.0,-61.0,10
6.0,1.0,-49.0,8
6.0,1.0,-61.0,10
6.0,1.0,-55.0,9
6.0,1.0,-61.0,10
6.0,1.0,-31.0,5
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,1.0,-61.0,10
6.0,9.999778782798785e-13,-24.000000000001,4
6.0,0.0,-36.0,6
6.0,9.999778782798785e-13,-24.000000000001,4
6.0,9.999778782798785e-13,-18.000000000001,3
6.0,1.0,-13.0,2
6.0,0.0,-36.0,6
6.0,0.0,-36.0,6
6.0,1.0,-1.0,0
6.0,0.0,-42.0,7
6.0,1.0,-13.0,2
6.0,1.0,-31.0,5
6.0,0.0,-54.0,9
6.0,0.0,-54.0,9
6.0,0.0,-60.0,10
6.0,0.0,-48.0,8
6.0,0.0,-48.0,8
6.0,0.0,-42.0,7
6.0,0.0,-30.0,5
6.0,0.0,-36.0,6
6.0,0.0,-60.0,10
beta,leakage,utility,mask_size
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-1.0,0
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-59.5,9
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-27.0,4
6.5,1.0,-46.5,7
6.5,1.0,-66.0,10
6.5,1.0,-20.5,3
6.5,1.0,-27.0,4
6.5,1.0,-46.5,7
6.5,1.0,-66.0,10
6.5,1.0,-40.0,6
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-59.5,9
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
6.5,1.0,-66.0,10
