alpha,leakage,utility,mask_size
15,1.0,-19.5,9
15,1.0,-19.5,9
15,1.0,-20.0,10
15,1.0,-18.0,6
15,1.0,-19.0,8
15,1.0,-20.0,10
15,1.0,-18.5,7
15,1.0,-19.0,8
15,1.0,-20.0,10
15,1.0,-20.0,10
15,1.0,-20.0,10
15,1.0,-20.0,10
15,1.0,-20.0,10
15,1.0,-18.0,6
15,1.0,-20.0,10
15,1.0,-20.0,10
15,1.0,-20.0,10
15,0.0,-3.0,6
15,0.0,-3.0,6
15,0.0,-3.5,7
15,9.999778782798785e-13,-3.0000000000149996,6
15,9.999778782798785e-13,-3.0000000000149996,6
15,1.999955756559757e-12,-2.500000000029999,5
15,9.999778782798785e-13,-2.0000000000149996,4
15,0.0,-3.5,7
15,0.0,-3.0,6
15,0.0,-3.5,7
15,0.0,-4.5,9
15,0.0,-4.5,9
15,1.0,-16.5,3
15,1.0,-19.5,9
15,0.0,-4.0,8
15,0.0,-3.5,7
15,0.0,-5.0,10
15,0.0,-4.5,9
15,0.0,-4.5,9
15,0.0,-2.5,5
alpha,leakage,utility,mask_size
16,0.0,-5.0,10
16,1.0,-21.0,10
16,0.0,-5.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,0.0,-5.0,10
16,0.0,-5.0,10
16,1.0,-21.0,10
16,1.0,-18.5,5
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-18.5,5
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-18.5,5
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-21.0,10
16,1.0,-18.5,5
16,1.0,-21.0,10
16,9.999778782798785e-13,-2.5000000000159996,5
16,0.0,-3.5,7
16,9.999778782798785e-13,-2.0000000000159996,4
16,1.0,-18.0,4
16,0.0,-3.5,7
16,0.0,-3.5,7
16,0.0,-2.5,5
16,0.0,-3.5,7
16,1.0,-17.5,3
16,0.0,-2.5,5
16,0.0,-4.5,9
16,0.0,-3.5,7
16,0.0,-3.0,6
16,1.0,-18.5,5
16,0.0,-5.0,10
16,0.0,-4.0,8
16,1.0,-20.0,8
16,0.0,-4.0,8
16,0.0,-5.0,10
16,1.0,-20.5,9
alpha,leakage,utility,mask_size
