method,dataset,target_attribute,total_time,init_time,model_time,del_time,leakage,baseline_leakage_empty_mask,utility,total_paths,mask_size,model_size,num_instantiated_cellsmarginal_em,tax,city,0.003271818161010742,0.0003707408905029297,0.0003771781921386719,0.0025238990783691406,0.0,Unnamed: 21,-3.0,1,3,201,3.1,epsilon_m,L0
marginal_em,tax,city,0.0042941570281982,0.0005881786346435,0.0007898807525634,0.0029160976409912,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0046985149383544,0.0005676746368408,0.0008518695831298,0.0032789707183837,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0047049522399902,0.0005629062652587,0.0008449554443359,0.0032970905303955,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0044269561767578,0.000392198562622,0.0008049011230468,0.0032298564910888,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0051882266998291,0.001235008239746,0.0006990432739257,0.0032541751861572,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0071461200714111,0.0006332397460937,0.0006117820739746,0.0059010982513427,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0045239925384521,0.0005359649658203,0.0011301040649414,0.0028579235076904,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0031638145446777,0.0003299713134765,0.000378131866455,0.002455711364746,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0041892528533935,0.0006318092346191,0.0007092952728271,0.0028481483459472,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0048120021820068,0.0007321834564208,0.0008118152618408,0.0032680034637451,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0059049129486083,0.0006098747253417,0.0014100074768066,0.0038850307464599,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0079998970031738,0.0004379749298095,0.000662088394165,0.0068998336791992,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0057241916656494,0.0004212856292724,0.000605821609497,0.0046970844268798,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
marginal_em,tax,city,0.0041179656982421,0.0005629062652587,0.0003800392150878,0.0031750202178955,0.0,,-3.0,1,3,201,3,,,,,,,,,,,,,,0.75,0.2
